What is the main reason you would not support countrys membership in the EU? 	Frequency	Lower Bound	Upper Bound
DK/RA	0.1543	0.0956	0.2397
It will not benefit my country	0.5215	0.4361	0.6057
It would restrict our independence	0.0453	0.0232	0.0869
It would harm our culture and traditions	0.0750	0.0429	0.1278
Peoples economic conditions would worsen	0.0479	0.0252	0.0892
It would hinder our relations with Russia  	0.1028	0.0671	0.1545
We would be less protected from foreign threats	0.0016	0.0002	0.0115
There would be less of a chance to restore my countrys territorial integrity	0.0171	0.0069	0.0412
Everyday life will become more dangerous, less safe	0.0032	0.0008	0.0129
Other	0.0312	0.0157	0.0609

