Which country is currently the main friend of country?	Frequency	Lower Bound	Upper Bound
None	0.1745	0.1514	0.2004
Don't know	0.2540	0.2244	0.2862
Armenia	0.0182	0.0100	0.0331
Azerbaijan	0.0731	0.0534	0.0994
Baltic countries	0.0008	0.0002	0.0043
China	0.0004	0.0001	0.0027
Europe	0.0038	0.0015	0.0099
France	0.0051	0.0023	0.0115
Germany	0.0081	0.0043	0.0152
Greece	0.0022	0.0009	0.0051
Israel	0.0044	0.0025	0.0079
Italy	0.0006	0.0002	0.0021
Latvia	0.0008	0.0001	0.0057
Lithuania	0.0075	0.0037	0.0150
Poland	0.0099	0.0055	0.0178
Russia	0.0557	0.0430	0.0718
Turkey	0.0599	0.0468	0.0762
Ukraine	0.0718	0.0586	0.0878
USA	0.2452	0.2202	0.2721
All countries	0.0030	0.0008	0.0115
Western countries	0.0005	0.0001	0.0038
Transcaucasian countries	0.0002	0.0000	0.0016
Ingushetia	0.0002	0.0000	0.0013

