Which country is currently the main enemy of country?	Frequency	Lower Bound	Upper Bound
None	0.2053	0.1779	0.2358
Don't know	0.3013	0.2660	0.3391
Armenia	0.0058	0.0029	0.0117
Azerbaijan	0.0018	0.0007	0.0048
China	0.0003	0.0000	0.0021
Europe	0.0002	0.0000	0.0015
Georgia	0.0038	0.0017	0.0087
Germany	0.0003	0.0000	0.0023
Iran	0.0016	0.0004	0.0059
Russia	0.4036	0.3729	0.4350
Turkey	0.0341	0.0247	0.0469
Ukraine	0.0003	0.0000	0.0019
USA	0.0296	0.0218	0.0401
All countries	0.0077	0.0040	0.0150
Afghanistan	0.0003	0.0001	0.0014
Muslim countries	0.0022	0.0007	0.0074
Korea	0.0010	0.0001	0.0069
CIS	0.0003	0.0000	0.0020
Neighbouring countries	0.0005	0.0001	0.0033

